firmid,cdid,id,price,const,hpwt,air,mpg,space,share,outshr
18,1,216,8.121,1,0.7205,0,1.49,1.4972,0.0007476,0.88011
18,1,217,9.5259,1,0.59568,0,1.378,1.8,0.00046891,0.88011
18,1,218,11.047,1,0.59825,0,1.465,1.8,0.0011278,0.88011
19,1,221,7.4049,1,0.44588,0,1.676,1.6016,0.0037666,0.88011
19,1,224,9.8395,1,0.57831,0,1.555,1.768,0.0017,0.88011
19,1,226,11.98,1,0.71636,0,1.674,1.7933,0.0016992,0.88011
19,1,227,13.474,1,0.77399,0,1.726,1.76,0.00058073,0.88011
16,1,231,5.9062,1,0.44092,0,1.665,1.3608,0.0036957,0.88011
16,1,233,6.5531,1,0.41528,0,1.499,1.4025,0.00028865,0.88011
16,1,236,6.7506,1,0.44629,0,1.44,1.6195,0.0017255,0.88011
16,1,240,7.7679,1,0.39136,0,1.274,1.728,0.00042955,0.88011
19,1,243,6.1432,1,0.62018,0,1.57,1.4235,0.00071834,0.88011
19,1,245,7.2222,1,0.44906,0,1.49,1.5939,0.0024444,0.88011
19,1,248,7.5235,1,0.45828,0,1.442,1.4208,0.00079108,0.88011
19,1,250,9.3086,1,0.6132,0,1.321,1.768,0.0024072,0.88011
19,1,251,10.395,1,0.66461,0,1.379,1.8,0.00060622,0.88011
19,1,253,11.252,1,0.7766,0,1.558,1.6401,0.0010586,0.88011
7,1,1474,7.642,1,0.46577,0,1.979,1.1136,3.76E-05,0.88011
7,1,1475,8.8765,1,0.48791,0,1.782,1.2627,0.00028102,0.88011
25,1,1478,6.037,1,0.37388,0,2.096,1.092,0.00063653,0.88011
2,1,1479,4.2864,1,0.42848,0,2.514,0.906,0.00079828,0.88011
2,1,1480,5.2346,1,0.43935,0,2.22,0.992,0.0015762,0.88011
17,1,1481,3.8395,1,0.27778,0,2.507,0.7896,3.75E-05,0.88011
17,1,1482,5.1383,1,0.37594,0,2.192,1.0368,9.86E-05,0.88011
3,1,1484,3.4444,1,0.24375,0,2.549,0.8586,0.00014262,0.88011
4,1,1485,5.4198,1,0.43672,0,2.285,1.0106,4.50E-05,0.88011
9,1,1487,13.116,1,0.40972,0,1.67,1.295,4.06E-05,0.88011
9,1,1488,13.38,1,0.39851,0,1.636,1.295,9.02E-05,0.88011
9,1,1489,15.748,1,0.52526,0,1.376,1.295,9.96E-05,0.88011
9,1,1491,18.442,1,0.62262,0,1.483,1.183,0.00021492,0.88011
26,1,1492,4.6988,1,0.33353,0,2.348,1.053,3.30E-05,0.88011
14,1,1493,8.5877,1,0.36436,0,1.876,1.1682,5.35E-05,0.88011
12,1,1494,8.8765,1,0.43082,0,2.05,1.0205,0.00015794,0.88011
12,1,1496,16.037,1,0.6345,0,1.755,1.0496,7.99E-05,0.88011
24,1,1497,4.5556,1,0.29365,0,2.295,1.002,0.00011047,0.88011
11,1,1498,8.3333,1,0.3494,0,1.908,1.1352,3.52E-05,0.88011
1,1,1501,4.921,1,0.45013,0,2.323,0.948,0.0017463,0.88011
1,1,1503,5.3086,1,0.4977,0,2.147,1.0354,0.0010177,0.88011
1,1,1504,5.6296,1,0.46753,0,2.066,1.1008,0.0011712,0.88011
1,1,1505,7.0346,1,0.38786,0,1.594,1.2395,5.90E-05,0.88011
1,1,1506,6.4148,1,0.42731,0,2.099,1.0332,0.00026354,0.88011
7,1,1507,4.5556,1,0.31915,0,2.42,0.9699,0.0053179,0.88011
7,1,1508,6.4173,1,0.24063,0,2.229,1.1008,0.0012028,0.88011
7,1,1509,7.4049,1,0.32829,0,1.852,1.1946,0.00037165,0.88011
6,1,1510,8.321,1,0.37611,0,1.962,1.2627,0.00016153,0.88011
6,1,1511,10.235,1,0.44133,0,1.872,1.2648,0.00014534,0.88011
15,2,254,4.7823,1,0.40096,0,1.946,1.1502,0.0014679,0.8714
15,2,256,5.4187,1,0.37161,0,1.867,1.278,0.00079515,0.8714
15,2,258,6.7153,1,0.34771,0,1.697,1.4592,0.00038317,0.8714
15,2,260,6.6603,1,0.31536,0,1.84,1.6068,0.00053202,0.8714
15,2,262,9.2943,1,0.42409,0,1.434,1.6536,0.00043838,0.8714
19,2,265,9.4689,1,0.35706,0,1.305,1.768,0.0024512,0.8714
19,2,266,10.785,1,0.51067,0,1.227,1.768,0.00045741,0.8714
19,2,267,11.699,1,0.49834,0,1.146,1.816,0.0024542,0.8714
19,2,268,12.318,1,0.57564,0,1.175,1.744,0.0094728,0.8714
19,2,269,14.206,1,0.46828,0,1.099,1.816,0.00010129,0.8714
19,2,270,15.287,1,0.46199,0,1.082,1.816,0.0027395,0.8714
19,2,271,17.297,1,0.50192,0,1.032,1.784,0.00058727,0.8714
19,2,272,18.27,1,0.45286,0,1.082,1.84,0.00029115,0.8714
19,2,273,4.9282,1,0.37071,0,2.067,1.122,0.003886,0.8714
19,2,274,5.6914,1,0.36888,0,1.74,1.387,0.0046645,0.8714
19,2,276,6.3062,1,0.34332,0,1.636,1.5352,0.0046944,0.8714
19,2,281,6.5311,1,0.35245,0,1.557,1.41,0.00068764,0.8714
19,2,283,8.0431,1,0.47062,0,1.598,1.5732,0.0029636,0.8714
19,2,284,7.3541,1,0.2852,0,1.582,1.76,0.00022861,0.8714
19,2,286,7.6651,1,0.28542,0,1.367,1.76,0.00059098,0.8714
19,2,288,8.0598,1,0.28004,0,1.342,1.76,0.0083357,0.8714
19,2,290,9.5909,1,0.40709,0,1.183,1.76,0.0026856,0.8714
19,2,292,13.091,1,0.62208,0,1.502,1.2627,0.00038376,0.8714
16,2,293,9.6914,1,0.46398,0,1.244,1.8,0.0011156,0.8714
16,2,294,11.639,1,0.51903,0,1.195,1.8,0.00025005,0.8714
16,2,295,5.3421,1,0.40155,0,2.086,1.0168,0.000499,0.8714
16,2,297,5.7895,1,0.35026,0,1.87,1.379,0.0032777,0.8714
16,2,300,6.6746,1,0.35831,0,1.56,1.4784,0.00036871,0.8714
16,2,303,6.5096,1,0.32836,0,1.501,1.6146,0.0019904,0.8714
16,2,308,8.6555,1,0.39113,0,1.304,1.76,0.0011965,0.8714
16,2,309,9.7967,1,0.4397,0,1.238,1.784,0.00031446,0.8714
18,2,311,4.689,1,0.26201,0,2.115,1.141,0.0063003,0.8714
18,2,314,5.2512,1,0.37998,0,2.34,1.3277,0.0033501,0.8714
18,2,316,6.3182,1,0.27917,0,1.57,1.696,0.00083036,0.8714
18,2,319,6.4091,1,0.34173,0,1.795,1.425,0.0016916,0.8714
18,2,321,6.8541,1,0.35591,0,1.706,1.425,0.0043397,0.8714
18,2,323,7.7656,1,0.27681,0,1.442,1.752,0.00032234,0.8714
18,2,324,8.4617,1,0.27357,0,1.427,1.752,0.0026471,0.8714
18,2,327,9.3062,1,0.37638,0,1.249,1.752,0.0043724,0.8714
18,2,329,12.663,1,0.48479,0,1.08,1.728,0.00081994,0.8714
16,2,330,16.215,1,0.45409,1,1.149,1.888,0.00020983,0.8714
18,2,331,17.469,1,0.4518,1,1.331,1.8,0.0006564,0.8714
18,2,332,20.67,1,0.4424,1,1.132,1.768,0.00072723,0.8714
18,2,333,5.7368,1,0.53478,0,2.018,1.3277,0.00097547,0.8714
18,2,335,6.8014,1,0.40533,0,1.445,1.6827,0.0015754,0.8714
18,2,337,7.2153,1,0.4997,0,1.446,1.4972,0.00070589,0.8714
18,2,338,9.0742,1,0.3941,0,1.232,1.8,0.00036865,0.8714
18,2,340,10.749,1,0.47424,0,1.343,1.8,0.0012436,0.8714
19,2,342,7.3349,1,0.46471,0,1.52,1.6016,0.0041364,0.8714
19,2,344,9.445,1,0.38214,0,1.292,1.784,0.0015198,0.8714
19,2,346,11.5,1,0.50585,0,1.237,1.824,0.001744,0.8714
19,2,347,12.778,1,0.55018,0,1.189,1.768,0.00068077,0.8714
16,2,351,5.6531,1,0.35714,0,1.865,1.3419,0.0043307,0.8714
16,2,353,6.4833,1,0.36184,0,1.591,1.4025,0.00025135,0.8714
16,2,356,6.4067,1,0.33537,0,1.528,1.6195,0.0018739,0.8714
16,2,359,8.2871,1,0.39063,0,1.309,1.744,0.00033702,0.8714
19,2,362,5.8708,1,0.36925,0,1.735,1.4235,0.00096963,0.8714
19,2,364,6.7321,1,0.33649,0,1.565,1.5939,0.0025585,0.8714
19,2,366,8.1077,1,0.39851,0,1.253,1.5939,0.00032035,0.8714
19,2,367,6.7895,1,0.34711,0,1.583,1.4208,0.002612,0.8714
19,2,369,8.8828,1,0.38517,0,1.299,1.784,0.00054364,0.8714
19,2,370,9.9737,1,0.43144,0,1.24,1.816,0.0014171,0.8714
20,2,1512,10.177,1,0.52826,0,1.759,1.0726,2.90E-05,0.8714
7,2,1513,7.6435,1,0.41919,0,1.997,1.1136,0.00039982,0.8714
8,2,1516,13.289,1,0.66294,0,1.625,1.2765,0.00039931,0.8714
25,2,1517,6.0478,1,0.30389,0,1.873,1.092,2.33E-05,0.8714
2,2,1519,4.7273,1,0.42848,0,2.514,0.906,0.00096293,0.8714
2,2,1520,5.8756,1,0.45076,0,2.246,0.992,0.0010598,0.8714
17,2,1523,4.8038,1,0.2792,0,2.455,0.9702,6.58E-05,0.8714
4,2,1525,5.4904,1,0.35714,0,2.384,1.008,5.11E-05,0.8714
4,2,1527,6.9258,1,0.43062,0,2.139,1.008,8.10E-05,0.8714
9,2,1528,14.993,1,0.39557,0,1.627,1.295,3.84E-05,0.8714
9,2,1529,15.342,1,0.38625,0,1.597,1.295,8.74E-05,0.8714
9,2,1530,17.268,1,0.49699,0,1.523,1.295,4.79E-05,0.8714
9,2,1531,22.734,1,0.46367,1,1.518,1.3896,0.00019103,0.8714
26,2,1532,4.9019,1,0.39957,0,2.198,1.0044,1.29E-05,0.8714
14,2,1533,8.9354,1,0.38812,0,1.847,1.1682,4.63E-05,0.8714
12,2,1534,8.9833,1,0.43082,0,2.122,1.0205,0.0002268,0.8714
12,2,1535,17.344,1,0.63677,0,1.831,1.0496,7.68E-05,0.8714
24,2,1536,5.4904,1,0.3561,0,2.124,1.1245,4.49E-05,0.8714
11,2,1537,9.0789,1,0.37255,0,1.774,1.1524,4.57E-05,0.8714
1,2,1540,5.2177,1,0.45013,0,2.323,0.948,0.0015955,0.8714
1,2,1542,5.7057,1,0.447,0,2.293,0.9405,0.00072493,0.8714
1,2,1543,6.1459,1,0.42082,0,2.137,1.1008,0.00087536,0.8714
7,2,1545,4.7823,1,0.31915,0,2.42,0.9699,0.0052812,0.8714
7,2,1546,6.5766,1,0.24063,0,2.229,1.1008,0.00072569,0.8714
7,2,1547,7.8349,1,0.32829,0,1.78,1.1946,0.00047709,0.8714
6,2,1548,8.5885,1,0.37452,0,1.833,1.2627,0.00014984,0.8714
6,2,1549,10.455,1,0.43329,0,1.654,1.2648,0.00014873,0.8714
15,3,373,4.7252,1,0.3785,0,1.807,1.1786,0.0019041,0.88578
15,3,375,5.277,1,0.35039,0,1.817,1.3135,0.0012887,0.88578
15,3,377,6.5068,1,0.34868,0,1.681,1.4668,0.00038498,0.88578
15,3,379,6.4257,1,0.30404,0,1.598,1.6302,0.00062443,0.88578
15,3,381,10.047,1,0.39862,1,1.481,1.6614,0.00042195,0.88578
19,3,382,5.9189,1,0.31726,0,1.703,1.4454,0.00052504,0.88578
19,3,384,6.8851,1,0.39683,0,1.33,1.6614,0.0034898,0.88578
19,3,387,9.0045,1,0.35427,0,1.223,1.8,0.0020426,0.88578
19,3,389,9.8874,1,0.40425,0,1.161,1.8,0.00071966,0.88578
19,3,390,11.099,1,0.49116,0,1.128,1.84,0.0021412,0.88578
19,3,391,11.759,1,0.55729,0,1.134,1.792,0.00039953,0.88578
19,3,392,13.599,1,0.44418,0,1.106,1.832,0.00010199,0.88578
19,3,393,14.64,1,0.44132,0,1.098,1.832,0.0028938,0.88578
19,3,394,16.577,1,0.48156,0,0.981,1.776,0.00071866,0.88578
19,3,395,17.489,1,0.4312,0,1.095,1.856,0.00031929,0.88578
19,3,396,4.7005,1,0.32447,0,2.053,1.1418,0.0048425,0.88578
19,3,397,5.4212,1,0.32626,0,1.749,1.4235,0.0047302,0.88578
19,3,405,6.2635,1,0.32062,0,1.622,1.4175,0.0015115,0.88578
19,3,407,7.6914,1,0.39052,0,1.54,1.6458,0.0039956,0.88578
19,3,408,7.3131,1,0.25674,0,1.421,1.776,0.0005087,0.88578
19,3,410,8.4505,1,0.35041,0,1.256,1.776,0.0068129,0.88578
19,3,411,9.1532,1,0.3592,0,1.238,1.776,0.0027552,0.88578
19,3,413,12.691,1,0.57126,0,1.455,1.2765,0.00041946,0.88578
16,3,414,9.4167,1,0.44048,0,1.179,1.848,0.0010072,0.88578
16,3,415,11.255,1,0.49369,0,1.172,1.848,0.00015634,0.88578
16,3,416,5.4887,1,0.40587,0,2.097,1.0168,0.0005085,0.88578
16,3,418,5.6396,1,0.32646,0,1.799,1.428,0.0035353,0.88578
16,3,421,6.7815,1,0.47544,0,1.459,1.5323,0.00034701,0.88578
16,3,422,6.4572,1,0.30523,0,1.488,1.6614,0.0019673,0.88578
16,3,427,8.3986,1,0.3881,0,1.315,1.816,0.0011579,0.88578
16,3,428,9.5,1,0.42289,0,1.249,1.832,0.00021393,0.88578
18,3,430,4.5518,1,0.25532,0,2.16,1.155,0.0068777,0.88578
18,3,433,5.1914,1,0.30446,0,1.976,1.3561,0.0040194,0.88578
18,3,435,6.0833,1,0.2572,0,1.52,1.696,0.00076431,0.88578
18,3,438,6.2162,1,0.3172,0,1.701,1.455,0.0013334,0.88578
18,3,439,6.6351,1,0.31635,0,1.698,1.455,0.0039297,0.88578
18,3,442,8.1216,1,0.38926,0,1.315,1.76,0.0004446,0.88578
18,3,443,8.9144,1,0.38471,0,1.299,1.76,0.0031619,0.88578
16,3,444,15.894,1,0.42701,1,1.113,1.888,0.00018336,0.88578
18,3,445,16.833,1,0.43375,1,1.177,1.84,0.00072496,0.88578
18,3,446,20.234,1,0.4238,1,1.098,1.792,0.00093717,0.88578
18,3,448,5.3311,1,0.30724,0,2.111,1.3703,0.0011237,0.88578
18,3,450,6.3536,1,0.25323,0,1.601,1.6848,0.0016419,0.88578
18,3,451,7.5946,1,0.4947,0,1.417,1.5,0.00082412,0.88578
18,3,452,8.9212,1,0.38107,0,1.207,1.864,0.00027813,0.88578
18,3,453,10.468,1,0.38195,0,1.312,1.784,0.0011237,0.88578
19,3,455,5.9482,1,0.31447,0,1.692,1.4454,0.00072755,0.88578
19,3,457,7.0653,1,0.47544,0,1.378,1.6247,0.0049646,0.88578
19,3,459,8.9887,1,0.37709,0,1.275,1.8,0.0011266,0.88578
19,3,461,10.946,1,0.49757,0,1.216,1.848,0.0016468,0.88578
19,3,462,12.255,1,0.53717,0,1.159,1.816,0.00065748,0.88578
16,3,465,5.5113,1,0.33159,0,1.789,1.3916,0.0048631,0.88578
16,3,467,6.6104,1,0.47771,0,1.489,1.4668,0.00025403,0.88578
16,3,469,6.3604,1,0.30435,0,1.484,1.6906,0.0022157,0.88578
16,3,473,8.0518,1,0.3881,0,1.283,1.792,0.00030385,0.88578
19,3,475,5.5878,1,0.3201,0,1.725,1.4454,0.0010839,0.88578
19,3,477,6.5721,1,0.27739,0,1.488,1.6536,0.0029756,0.88578
19,3,480,6.5203,1,0.31656,0,1.691,1.4282,0.00072708,0.88578
19,3,482,8.491,1,0.35427,0,1.295,1.8,0.0024865,0.88578
19,3,483,9.3761,1,0.39234,0,1.147,1.8,0.00056346,0.88578
19,3,485,10.322,1,0.57143,0,1.193,1.7143,0.0020708,0.88578
2,3,1557,4.9437,1,0.42848,0,2.514,0.906,0.00081938,0.88578
2,3,1558,6.7455,1,0.42712,0,2.133,1.0836,0.0010809,0.88578
17,3,1560,6.1689,1,0.26332,0,2.462,0.7896,0.00017905,0.88578
17,3,1561,5.1779,1,0.27298,0,2.342,0.9702,0.0002786,0.88578
17,3,1563,5.7185,1,0.36801,0,2.294,1.0368,0.00037899,0.88578
3,3,1564,4.8423,1,0.32552,0,2.598,0.756,0.00026042,0.88578
4,3,1565,5.8446,1,0.31605,0,2.39,1.008,8.69E-05,0.88578
9,3,1568,16.14,1,0.39865,0,1.561,1.295,3.95E-05,0.88578
9,3,1569,16.633,1,0.39333,0,1.544,1.295,9.04E-05,0.88578
9,3,1570,21.831,1,0.39574,1,1.767,1.295,0.00010379,0.88578
9,3,1571,31.378,1,0.49441,1,1.631,1.2283,0.00010138,0.88578
26,3,1572,5.8806,1,0.35579,0,2.215,1.0206,0.00083225,0.88578
14,3,1573,9.527,1,0.32,0,1.796,1.1682,2.15E-05,0.88578
12,3,1574,10.471,1,0.35531,0,2.213,1.04,0.00016479,0.88578
12,3,1575,18.466,1,0.53196,0,1.916,1.0816,8.36E-05,0.88578
24,3,1576,5.8514,1,0.344,0,2.11,1.131,4.89E-05,0.88578
11,3,1577,8.6599,1,0.42339,0,1.757,1.1591,2.39E-06,0.88578
5,3,1578,5.9662,1,0.30851,0,2.525,0.96,0.00024976,0.88578
1,3,1580,5.4707,1,0.43564,0,2.29,0.948,7.01E-07,0.88578
1,3,1582,6.0338,1,0.41901,0,2.1,0.9405,0.00087755,0.88578
1,3,1583,7.1149,1,0.41738,0,2.073,1.0332,0.00085315,0.88578
1,3,1584,7.4977,1,0.44689,0,1.798,1.1328,0.00036206,0.88578
7,3,1586,8.1059,1,0.32409,0,1.838,1.2144,0.00043621,0.88578
7,3,1588,13.232,1,0.42014,0,1.616,1.2648,0.00021744,0.88578
7,3,1589,9.7748,1,0.40687,0,1.828,1.1656,0.00017395,0.88578
15,4,486,5.0325,1,0.3775,0,1.804,1.2141,0.0014614,0.89453
15,4,488,5.7282,1,0.35298,0,1.826,1.3277,0.0016515,0.89453
15,4,490,6.0832,1,0.34855,0,1.711,1.4896,0.00024462,0.89453
15,4,492,6.1907,1,0.29197,0,1.546,1.677,0.001083,0.89453
15,4,494,9.2475,1,0.38951,1,1.508,1.628,0.00022892,0.89453
19,4,495,6.2069,1,0.30713,0,1.672,1.46,0.00068468,0.89453
19,4,497,7.7809,1,0.3856,0,1.295,1.6906,0.0021722,0.89453
19,4,500,8.8337,1,0.34586,0,1.192,1.808,0.0028374,0.89453
19,4,503,11.517,1,0.45932,0,1.019,1.816,0.00025198,0.89453
19,4,505,16.43,1,0.40739,0,1.067,1.848,0.0026081,0.89453
19,4,506,18.479,1,0.42339,0,0.913,1.792,0.00051115,0.89453
19,4,508,5.0811,1,0.31659,0,1.984,1.1616,0.0045079,0.89453
19,4,510,5.7627,1,0.31328,0,1.667,1.4381,0.0042951,0.89453
19,4,515,6.4138,1,0.4382,0,1.371,1.47,0.0019008,0.89453
19,4,517,7.8803,1,0.36933,0,1.436,1.6692,0.0039696,0.89453
19,4,519,8.3874,1,0.34483,0,1.225,1.784,0.0078784,0.89453
19,4,522,12.337,1,0.5893,0,1.463,1.2834,0.00041456,0.89453
16,4,525,5.712,1,0.39627,0,2.084,1.1072,0.00032538,0.89453
16,4,528,6.0061,1,0.31097,0,1.739,1.428,0.0041562,0.89453
16,4,531,6.3753,1,0.46512,0,1.46,1.4925,0.00013283,0.89453
16,4,532,6.6349,1,0.29915,0,1.462,1.677,0.0015677,0.89453
16,4,535,6.5152,1,0.30259,0,1.422,1.6478,0.00010818,0.89453
18,4,539,5.1258,1,0.33727,0,1.854,1.183,0.0049868,0.89453
18,4,542,5.7282,1,0.29463,0,1.937,1.3774,0.003045,0.89453
18,4,545,6.7931,1,0.24581,0,1.48,1.728,0.0037953,0.89453
18,4,547,6.357,1,0.33588,0,1.797,1.2425,0.0038717,0.89453
18,4,551,8.8641,1,0.3801,0,1.174,1.784,0.0058361,0.89453
18,4,553,14.868,1,0.45596,1,1.135,1.8,0.00066394,0.89453
16,4,554,15.83,1,0.46324,1,1.115,1.856,0.00017007,0.89453
18,4,555,16.71,1,0.40104,1,1.103,1.864,0.00053752,0.89453
18,4,556,20.677,1,0.41029,1,1.012,1.832,0.00067625,0.89453
18,4,558,4.6329,1,0.30227,0,1.968,1.3987,0.0011555,0.89453
18,4,560,6.5842,1,0.22951,0,1.405,1.738,0.0023081,0.89453
18,4,561,9.5456,1,0.38073,0,1.167,1.6985,0.0010152,0.89453
19,4,565,6.2292,1,0.30562,0,1.727,1.46,0.00059134,0.89453
19,4,567,7.8458,1,0.45872,0,1.277,1.6555,0.0038516,0.89453
19,4,569,8.8702,1,0.40946,0,1.139,1.816,0.0024933,0.89453
19,4,572,12.034,1,0.48957,0,0.999,1.824,0.00033053,0.89453
16,4,575,5.9675,1,0.31301,0,1.733,1.4129,0.0048976,0.89453
16,4,578,6.5963,1,0.45455,0,1.406,1.4896,8.52E-05,0.89453
16,4,579,6.5436,1,0.2983,0,1.423,1.704,0.0018614,0.89453
16,4,585,9.4828,1,0.42334,0,1.114,1.784,0.0014848,0.89453
19,4,586,5.9249,1,0.31556,0,1.676,1.46,0.00083531,0.89453
19,4,588,6.5639,1,0.27563,0,1.43,1.704,0.0017933,0.89453
19,4,591,6.7647,1,0.3046,0,1.787,1.4504,0.00093908,0.89453
19,4,593,8.499,1,0.40755,0,1.175,1.808,0.0021568,0.89453
19,4,596,10.012,1,0.54932,0,1.175,1.7004,0.0011274,0.89453
2,4,1595,7.3002,1,0.41488,0,2.003,1.0962,0.0010522,0.89453
2,4,1597,6.4686,1,0.41592,0,2.039,1.0836,0.00046495,0.89453
17,4,1598,5.5984,1,0.25521,0,2.382,0.9548,0.0003926,0.89453
17,4,1600,6.1379,1,0.32742,0,2.048,1.079,0.0004477,0.89453
3,4,1602,4.8174,1,0.32099,0,2.616,0.8614,0.00034649,0.89453
9,4,1606,17.079,1,0.32895,0,1.623,1.316,3.46E-05,0.89453
9,4,1607,17.677,1,0.2013,0,2.015,1.3561,0.00013472,0.89453
9,4,1608,22.211,1,0.39039,1,1.554,1.295,8.71E-05,0.89453
9,4,1609,32.089,1,0.46036,1,1.445,1.554,6.28E-05,0.89453
26,4,1610,6.4402,1,0.34868,0,1.872,1.0206,0.00066083,0.89453
14,4,1611,9.7972,1,0.31429,0,1.846,1.1682,2.77E-05,0.89453
12,4,1612,10.953,1,0.34993,0,2.12,1.053,0.00013429,0.89453
12,4,1613,24.087,1,0.61771,0,1.846,1.0816,6.78E-05,0.89453
24,4,1614,5.6694,1,0.31205,0,2.159,1.131,3.01E-05,0.89453
11,4,1615,9.8337,1,0.41048,0,1.742,1.1591,5.68E-05,0.89453
5,4,1616,6.6876,1,0.29975,0,2.303,0.96,0.00016894,0.89453
1,4,1618,5.3732,1,0.31707,0,2.347,0.96,0.0014408,0.89453
1,4,1620,5.8398,1,0.40083,0,2.05,0.9405,0.0007392,0.89453
1,4,1621,6.7931,1,0.4,0,1.902,1.0332,0.00082455,0.89453
1,4,1622,7.6146,1,0.43262,0,1.758,1.1328,0.00019833,0.89453
7,4,1623,5.3245,1,0.25123,0,2.476,1.0004,0.0033954,0.89453
7,4,1624,8.3367,1,0.36585,0,2.117,1.0899,0.00051886,0.89453
7,4,1625,8.3164,1,0.30444,0,1.796,1.2144,0.00032398,0.89453
6,4,1626,10.02,1,0.37795,1,1.796,1.1656,0.0001626,0.89453
6,4,1627,14.189,1,0.40191,1,1.668,1.3056,0.00019217,0.89453
15,5,597,5.2007,1,0.33408,0,1.9,1.2141,0.00091419,0.8918
15,5,599,5.8067,1,0.3471,0,1.8,1.3464,0.0013427,0.8918
15,5,601,6.132,1,0.3005,0,1.8,1.3588,0.001328,0.8918
15,5,602,6.4164,1,0.30675,0,1.6,1.6848,0.0008378,0.8918
19,5,604,7.1747,1,0.36829,0,1.9,1.188,0.00041504,0.8918
19,5,606,6.4368,1,0.32924,0,1.6,1.407,0.00093355,0.8918
19,5,609,7.3309,1,0.29491,0,1.6,1.6906,0.0026816,0.8918
19,5,614,8.868,1,0.37887,0,1.2,1.816,0.0015363,0.8918
19,5,616,11.526,1,0.43561,0,1.1,1.872,0.0013386,0.8918
19,5,617,11.933,1,0.45164,0,1.2,1.784,0.00019732,0.8918
19,5,619,16.359,1,0.36922,1,1.1,1.848,0.0003641,0.8918
19,5,618,15.571,1,0.3735,1,1.1,1.848,0.0026706,0.8918
19,5,620,18.467,1,0.37197,1,1.1,1.8,0.00063016,0.8918
